shape_id,stop_lat,stop_lon,position,order
HUD_ALB_SB,42.475409,-73.683321,3,0
HUD_ALB_SB,42.476335,-73.68224,4,1
HUD_CHT_1,42.350727,-73.605266,4,0
HUD_CHT_1,42.350213,-73.605537,4,1
HUD_CHT_1,42.350134,-73.605665,4,2
HUD_CHT_1,42.349369,-73.606068,4,3
HUD_CHT_1,42.349172,-73.606076,4,4
HUD_CHT_1,42.34904,-73.605874,4,5
HUD_CHT_1,42.348903,-73.605864,4,6
HUD_CHT_1,42.348227,-73.606148,4,7
HUD_CHT_1,42.348017,-73.604949,5,8
HUD_CHT_1,42.347577,-73.605134,5,9
HUD_CHT_1,42.347396,-73.604448,5,10
HUD_CHT_1,42.248613,-73.781878,7,11
HUD_CHT_1,42.250821,-73.784941,8,12
HUD_CHT_1,42.347396,-73.604434,15,13
HUD_CHT_1,42.347571,-73.605137,15,14
HUD_CHT_1,42.348039,-73.604933,15,15
HUD_CHT_1,42.348231,-73.60614,16,16
HUD_CHT_1,42.348903,-73.605861,16,17
HUD_CHT_1,42.349042,-73.605869,16,18
HUD_CHT_1,42.349176,-73.60606,16,19
HUD_CHT_1,42.349369,-73.60606,16,20
HUD_CHT_1,42.350134,-73.605663,16,21
HUD_CHT_1,42.350209,-73.605537,16,22
HUD_CHT_1,42.35074,-73.60526,16,23
HUD_CHT_2,42.350727,-73.605266,2,0
HUD_CHT_2,42.350213,-73.605537,2,1
HUD_CHT_2,42.350134,-73.605665,2,2
HUD_CHT_2,42.349369,-73.606068,2,3
HUD_CHT_2,42.349172,-73.606076,2,4
HUD_CHT_2,42.34904,-73.605874,2,5
HUD_CHT_2,42.348903,-73.605864,2,6
HUD_CHT_2,42.348227,-73.606148,2,7
HUD_CHT_2,42.348017,-73.604949,3,8
HUD_CHT_2,42.347577,-73.605134,3,9
HUD_CHT_2,42.347396,-73.604448,3,10
HUD_CHT_2,42.248613,-73.781878,5,11
HUD_CHT_2,42.250821,-73.784941,6,12
HUD_CHT_2,42.347396,-73.604434,13,13
HUD_CHT_2,42.347571,-73.605137,13,14
HUD_CHT_2,42.348039,-73.604933,13,15
HUD_CHT_2,42.348231,-73.60614,14,16
HUD_CHT_2,42.348903,-73.605861,14,17
HUD_CHT_2,42.349042,-73.605869,14,18
HUD_CHT_2,42.349176,-73.60606,14,19
HUD_CHT_2,42.349369,-73.60606,14,20
HUD_CHT_2,42.350134,-73.605663,14,21
HUD_CHT_2,42.350209,-73.605537,14,22
HUD_CHT_2,42.35074,-73.60526,14,23
HUD_CHT_3,42.350727,-73.605266,2,0
HUD_CHT_3,42.350213,-73.605537,2,1
HUD_CHT_3,42.350134,-73.605665,2,2
HUD_CHT_3,42.349369,-73.606068,2,3
HUD_CHT_3,42.349172,-73.606076,2,4
HUD_CHT_3,42.34904,-73.605874,2,5
HUD_CHT_3,42.348903,-73.605864,2,6
HUD_CHT_3,42.348227,-73.606148,2,7
HUD_CHT_3,42.348017,-73.604949,3,8
HUD_CHT_3,42.347577,-73.605134,3,9
HUD_CHT_3,42.347396,-73.604448,3,10
HUD_CHT_3,42.248613,-73.781878,5,11
HUD_CHT_3,42.250821,-73.784941,6,12
HUD_CHT_3,42.347396,-73.604434,13,13
HUD_CHT_3,42.347571,-73.605137,13,14
HUD_CHT_3,42.348039,-73.604933,13,15
HUD_CHT_3,42.348231,-73.60614,14,16
HUD_CHT_3,42.348903,-73.605861,14,17
HUD_CHT_3,42.349042,-73.605869,14,18
HUD_CHT_3,42.349176,-73.60606,14,19
HUD_CHT_3,42.349369,-73.60606,14,20
HUD_CHT_3,42.350134,-73.605663,14,21
HUD_CHT_3,42.350209,-73.605537,14,22
HUD_CHT_3,42.35074,-73.60526,14,23
