shape_id,stop_lat,stop_lon,radius
SHOPPING,42.252328,-73.776841,54
SHOPPING,42.253458,-73.794329,124
SHOPPING_NO_DSS,42.253458,-73.794329,124
SHOPPING_WARREN_END,42.253458,-73.794329,124
SHOPPING_APPLE_END,42.253458,-73.794329,124
HUD_ALB_NB,42.247915,-73.782924,22
HUD_ALB_NB,42.246847,-73.776627,92
HUD_ALB_NB,42.416802,-73.690281,257
HUD_ALB_NB,42.677428,-73.802419,105
HUD_ALB_NB_NO_STATE,42.247915,-73.782924,22
HUD_ALB_NB_NO_STATE,42.246847,-73.776627,92
HUD_ALB_NB_NO_STATE,42.416802,-73.690281,257
HUD_CHT_1,42.267656,-73.73397,591
HUD_CHT_2,42.267656,-73.73397,591
